2018-07-05 17:02:22 purge open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1 <none>
2018-07-05 17:02:22 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:22 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files open-vm-tools:amd64 2:10.2.0-3~ubuntu0.16.04.1
2018-07-05 17:02:23 status not-installed open-vm-tools:amd64 <none>
2018-07-05 17:02:23 status installed libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 remove libdrm2:amd64 2.4.91-2~16.04.1 <none>
2018-07-05 17:02:23 status half-configured libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status half-installed libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm2:amd64 2.4.91-2~16.04.1
2018-07-05 17:02:23 status not-installed libdrm2:amd64 <none>
2018-07-05 17:02:23 status installed libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 remove libdrm-common:all 2.4.91-2~16.04.1 <none>
2018-07-05 17:02:23 status half-configured libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 status half-installed libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 status config-files libdrm-common:all 2.4.91-2~16.04.1
2018-07-05 17:02:23 status not-installed libdrm-common:all <none>
2018-07-05 17:02:23 status installed libdumbnet1:amd64 1.12-7
2018-07-05 17:02:23 remove libdumbnet1:amd64 1.12-7 <none>
2018-07-05 17:02:23 status half-configured libdumbnet1:amd64 1.12-7
2018-07-05 17:02:23 status half-installed libdumbnet1:amd64 1.12-7
2018-07-05 17:02:23 status config-files libdumbnet1:amd64 1.12-7
2018-07-05 17:02:23 status config-files libdumbnet1:amd64 1.12-7
2018-07-05 17:02:23 status config-files libdumbnet1:amd64 1.12-7
2018-07-05 17:02:23 status not-installed libdumbnet1:amd64 <none>
2018-07-05 17:02:23 status installed liberror-perl:all 0.17-1.2
2018-07-05 17:02:23 remove liberror-perl:all 0.17-1.2 <none>
2018-07-05 17:02:23 status half-configured liberror-perl:all 0.17-1.2
2018-07-05 17:02:23 status half-installed liberror-perl:all 0.17-1.2
2018-07-05 17:02:23 status config-files liberror-perl:all 0.17-1.2
2018-07-05 17:02:23 status config-files liberror-perl:all 0.17-1.2
2018-07-05 17:02:23 status config-files liberror-perl:all 0.17-1.2
2018-07-05 17:02:23 status not-installed liberror-perl:all <none>
2018-07-05 17:02:23 status installed tmux:amd64 2.1-3build1
2018-07-05 17:02:23 remove tmux:amd64 2.1-3build1 <none>
2018-07-05 17:02:23 status half-configured tmux:amd64 2.1-3build1
2018-07-05 17:02:23 status half-installed tmux:amd64 2.1-3build1
2018-07-05 17:02:23 status config-files tmux:amd64 2.1-3build1
2018-07-05 17:02:23 purge tmux:amd64 2.1-3build1 <none>
2018-07-05 17:02:23 status config-files tmux:amd64 2.1-3build1
2018-07-05 17:02:23 status config-files tmux:amd64 2.1-3build1
2018-07-05 17:02:23 status config-files tmux:amd64 2.1-3build1
2018-07-05 17:02:23 status config-files tmux:amd64 2.1-3build1
2018-07-05 17:02:23 status config-files tmux:amd64 2.1-3build1
2018-07-05 17:02:23 status not-installed tmux:amd64 <none>
2018-07-05 17:02:23 status installed libevent-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-07-05 17:02:23 remove libevent-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1 <none>
2018-07-05 17:02:23 status half-configured libevent-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-07-05 17:02:23 status half-installed libevent-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files libevent-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files libevent-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-07-05 17:02:23 status config-files libevent-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-07-05 17:02:23 status not-installed libevent-2.0-5:amd64 <none>
2018-07-05 17:02:23 status installed libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 remove libfribidi0:amd64 0.19.7-1 <none>
2018-07-05 17:02:23 status half-configured libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 status half-installed libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 status config-files libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 purge libfribidi0:amd64 0.19.7-1 <none>
2018-07-05 17:02:23 status config-files libfribidi0:amd64 0.19.7-1
2018-07-05 17:02:23 status config-files libfribidi0:amd64 0.19.7-1
